VoteIntention,Region,Gender,Ethnicity,MaritalStatus,Age,Housing,Qualifications
NA,east anglia,female,white,Partner/Single,35,Owns/Mortgage,GCE
Conservative,south west,male,white,Married/Widowed,56,Owns/Mortgage,GCE
Conservative,scotland,female,white,Married/Widowed,65,Owns/Outright,BA
Conservative,east midlands,female,white,Seperated/Divorced,48,Owns/Mortgage,GCE
NA,east midlands,female,white,Married/Widowed,29,Owns/Mortgage,GCE
Conservative,south east,male,white,Married/Widowed,45,Owns/Mortgage,GCE
NA,west midlands,female,white,Partner/Single,36,Owns/Mortgage,BA
Conservative,east anglia,female,white,Married/Widowed,35,Owns/Mortgage,GCE
Labour,south west,male,white,Married/Widowed,55,Owns/Mortgage,Technical/None/Other
NA,north,male,white,Partner/Single,63,Rent/Other,BA
Labour,north,female,white,Married/Widowed,41,Owns/Mortgage,Technical/None/Other
Labour,south east,female,white,Married/Widowed,50,Owns/Mortgage,GCE
Conservative,west midlands,male,white,Partner/Single,45,Owns/Outright,GCE
NA,wales,female,white,Partner/Single,44,Rent/Other,Technical/None/Other
NA,south east,female,black or black british,Partner/Single,41,Rent/Other,BA
Other,south west,female,white,Married/Widowed,62,Owns/Outright,GCSE
NA,south east,female,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
NA,south east,female,white,Seperated/Divorced,56,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Partner/Single,37,Rent/Other,Technical/None/Other
NA,scotland,female,white,Partner/Single,42,Owns/Mortgage,BA
Labour,scotland,female,white,Partner/Single,54,Owns/Mortgage,BA
LiberalDemocrat,south east,male,white,Married/Widowed,62,Rent/Other,GCE
NA,wales,male,white,Partner/Single,61,Owns/Outright,GCE
NA,north,male,white,Married/Widowed,58,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Partner/Single,52,Owns/Outright,GCE
Conservative,north,female,white,Married/Widowed,65,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,yorkshire & humberside,male,white,Seperated/Divorced,44,Rent/Other,BA
Conservative,south east,female,white,Married/Widowed,27,Owns/Mortgage,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,60,Owns/Outright,GCE
NA,north west,male,white,Seperated/Divorced,62,Owns/Outright,GCSE
Other,south east,male,white,Seperated/Divorced,54,Rent/Other,GCE
LiberalDemocrat,south west,female,white,Married/Widowed,59,Owns/Mortgage,Technical/None/Other
Other,scotland,female,white,Married/Widowed,61,Rent/Other,BA
NA,scotland,male,white,Married/Widowed,54,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Partner/Single,57,Owns/Outright,GCE
NA,north west,male,white,Married/Widowed,70,Owns/Outright,BA
NA,greater london,male,white,Partner/Single,25,Rent/Other,BA
Labour,east midlands,male,white,Married/Widowed,39,Owns/Mortgage,BA
Conservative,south east,female,white,Partner/Single,25,Rent/Other,Technical/None/Other
LiberalDemocrat,south west,female,white,Married/Widowed,52,Owns/Mortgage,Technical/None/Other
Other,scotland,male,white,Seperated/Divorced,72,Owns/Mortgage,BA
Labour,scotland,female,white,Married/Widowed,51,Owns/Mortgage,BA
NA,north,male,white,Partner/Single,53,Owns/Mortgage,Technical/None/Other
Conservative,south west,female,white,Married/Widowed,61,Owns/Outright,BA
Labour,north west,male,white,Married/Widowed,60,Owns/Mortgage,Technical/None/Other
Labour,yorkshire & humberside,male,white,Married/Widowed,47,Owns/Mortgage,Technical/None/Other
Labour,south east,male,white,Partner/Single,45,Owns/Outright,GCE
NA,scotland,male,white,Married/Widowed,59,Owns/Outright,GCE
Labour,east midlands,female,white,Partner/Single,38,Rent/Other,GCE
Other,wales,male,white,Married/Widowed,56,Owns/Mortgage,BA
Labour,south west,male,white,Partner/Single,52,Rent/Other,Technical/None/Other
NA,north west,male,white,Married/Widowed,68,Owns/Outright,GCSE
Other,scotland,female,white,Married/Widowed,62,Rent/Other,GCE
Conservative,greater london,male,white,Married/Widowed,37,Rent/Other,BA
NA,greater london,female,white,Partner/Single,38,Owns/Mortgage,BA
NA,south east,female,white,Married/Widowed,55,Owns/Outright,GCE
Labour,greater london,male,asian or asian british,Married/Widowed,52,Owns/Mortgage,Technical/None/Other
NA,yorkshire & humberside,male,white,Married/Widowed,59,Owns/Outright,BA
NA,scotland,female,white,Married/Widowed,46,Owns/Mortgage,GCE
NA,east midlands,female,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,54,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,scotland,female,white,Married/Widowed,53,Owns/Outright,Technical/None/Other
Labour,scotland,male,white,Married/Widowed,38,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,24,Owns/Mortgage,Technical/None/Other
Other,scotland,male,white,Partner/Single,20,Owns/Outright,GCE
NA,east anglia,male,white,Married/Widowed,49,Owns/Outright,Technical/None/Other
Conservative,east anglia,female,white,Married/Widowed,71,Rent/Other,Technical/None/Other
Labour,south west,male,white,Partner/Single,40,Owns/Mortgage,BA
Labour,east midlands,male,white,Married/Widowed,49,Owns/Mortgage,GCE
NA,north,female,white,Married/Widowed,59,Owns/Mortgage,GCE
Conservative,south west,male,white,Married/Widowed,53,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,north west,male,white,Partner/Single,70,Owns/Mortgage,GCE
NA,north west,female,white,Partner/Single,29,Owns/Mortgage,BA
NA,east midlands,male,white,Partner/Single,44,Owns/Mortgage,GCE
NA,south east,female,white,Married/Widowed,56,Owns/Outright,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,50,Owns/Outright,Technical/None/Other
LiberalDemocrat,scotland,female,white,Partner/Single,38,Owns/Mortgage,BA
LiberalDemocrat,greater london,male,white,Partner/Single,31,Owns/Mortgage,GCE
Conservative,greater london,male,asian or asian british,Married/Widowed,45,Owns/Mortgage,GCSE
NA,greater london,male,white,Partner/Single,31,Rent/Other,BA
Conservative,east anglia,male,white,Married/Widowed,61,Owns/Mortgage,Technical/None/Other
NA,south west,male,white,Married/Widowed,30,Owns/Outright,BA
NA,east anglia,male,white,Married/Widowed,35,Rent/Other,Technical/None/Other
Labour,wales,male,white,Married/Widowed,48,Rent/Other,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,65,Owns/Outright,BA
NA,west midlands,male,white,Married/Widowed,50,Owns/Outright,GCE
NA,scotland,male,white,Married/Widowed,52,Owns/Mortgage,GCE
Conservative,scotland,male,white,Married/Widowed,44,Owns/Mortgage,GCSE
NA,north west,male,white,Married/Widowed,41,Owns/Mortgage,GCSE
NA,yorkshire & humberside,female,other ethnic background,Partner/Single,110,Rent/Other,Technical/None/Other
NA,greater london,male,black or black british,Married/Widowed,47,Rent/Other,GCE
LiberalDemocrat,south east,male,white,Partner/Single,38,Rent/Other,GCE
LiberalDemocrat,north,male,white,Seperated/Divorced,68,Owns/Mortgage,BA
Labour,scotland,male,white,Married/Widowed,38,Owns/Mortgage,Technical/None/Other
NA,west midlands,male,white,Partner/Single,20,Owns/Outright,GCE
Other,west midlands,male,white,Married/Widowed,36,Owns/Mortgage,GCE
NA,scotland,female,white,Married/Widowed,49,Owns/Mortgage,BA
NA,yorkshire & humberside,male,white,Married/Widowed,60,Rent/Other,Technical/None/Other
NA,west midlands,female,white,Seperated/Divorced,58,Owns/Outright,Technical/None/Other
NA,east anglia,male,white,Married/Widowed,34,Owns/Mortgage,Technical/None/Other
Conservative,south east,female,white,Married/Widowed,61,Owns/Mortgage,Technical/None/Other
NA,yorkshire & humberside,male,white,Married/Widowed,50,Owns/Mortgage,BA
Labour,north west,female,white,Married/Widowed,39,Owns/Mortgage,BA
NA,north west,male,white,Married/Widowed,54,Owns/Outright,Technical/None/Other
LiberalDemocrat,north,male,white,Partner/Single,43,Rent/Other,BA
NA,scotland,male,white,Seperated/Divorced,37,Owns/Mortgage,BA
NA,south east,female,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
Conservative,south west,male,white,Married/Widowed,49,Owns/Mortgage,Technical/None/Other
NA,yorkshire & humberside,female,white,Married/Widowed,65,Owns/Outright,Technical/None/Other
NA,wales,female,white,Married/Widowed,43,Owns/Mortgage,GCSE
Conservative,south east,male,white,Seperated/Divorced,50,Owns/Mortgage,GCSE
Conservative,greater london,female,white,Partner/Single,47,Rent/Other,GCE
LiberalDemocrat,west midlands,male,white,Married/Widowed,61,Owns/Outright,BA
Labour,scotland,female,white,Married/Widowed,56,Owns/Mortgage,Technical/None/Other
Labour,scotland,male,white,Married/Widowed,74,Rent/Other,Technical/None/Other
Labour,greater london,male,white,Partner/Single,48,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Seperated/Divorced,44,Owns/Mortgage,GCSE
NA,south west,male,white,Married/Widowed,62,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,male,white,Partner/Single,46,Rent/Other,BA
NA,east anglia,female,white,Married/Widowed,51,Rent/Other,Technical/None/Other
LiberalDemocrat,greater london,male,white,Partner/Single,28,Rent/Other,BA
LiberalDemocrat,south west,male,white,Married/Widowed,47,Owns/Mortgage,BA
NA,scotland,female,white,Seperated/Divorced,59,Owns/Mortgage,GCE
Labour,north,male,white,Partner/Single,28,Owns/Mortgage,BA
NA,greater london,female,asian or asian british,Married/Widowed,30,Owns/Mortgage,BA
NA,west midlands,female,white,Seperated/Divorced,60,Owns/Outright,GCE
NA,north,male,white,Seperated/Divorced,47,Owns/Mortgage,GCE
NA,south east,female,white,Partner/Single,34,Rent/Other,GCE
Labour,north,female,white,Married/Widowed,63,Owns/Outright,BA
Conservative,north,female,white,Married/Widowed,74,Owns/Outright,GCE
NA,scotland,male,white,Married/Widowed,51,Owns/Mortgage,GCE
LiberalDemocrat,north west,female,white,Partner/Single,22,Owns/Mortgage,GCE
Conservative,south east,female,white,Partner/Single,46,Owns/Mortgage,GCE
NA,east midlands,male,white,Seperated/Divorced,63,Rent/Other,Technical/None/Other
LiberalDemocrat,east anglia,male,white,Partner/Single,40,Owns/Mortgage,BA
LiberalDemocrat,west midlands,female,white,Seperated/Divorced,47,Owns/Outright,GCSE
Labour,wales,female,white,Partner/Single,40,Rent/Other,BA
Conservative,east midlands,male,white,Married/Widowed,78,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,male,white,Partner/Single,51,Rent/Other,BA
NA,south east,male,white,Married/Widowed,65,Rent/Other,GCE
Labour,north west,male,white,Married/Widowed,62,Owns/Outright,GCSE
Labour,scotland,male,white,Married/Widowed,53,Owns/Mortgage,GCE
Other,scotland,female,white,Partner/Single,60,Owns/Outright,GCE
Conservative,greater london,male,white,Partner/Single,34,Rent/Other,BA
Labour,north west,male,white,Partner/Single,22,Owns/Outright,BA
NA,south east,female,white,Married/Widowed,63,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,east midlands,male,white,Partner/Single,56,Owns/Mortgage,GCE
Labour,scotland,female,white,Married/Widowed,63,Owns/Outright,BA
NA,greater london,male,white,Married/Widowed,44,Owns/Mortgage,Technical/None/Other
Other,south east,female,white,Partner/Single,25,Owns/Outright,GCE
NA,east midlands,female,other ethnic background,Married/Widowed,46,Owns/Outright,BA
Conservative,scotland,male,white,Seperated/Divorced,54,Rent/Other,GCSE
NA,greater london,female,white,Married/Widowed,26,Owns/Mortgage,GCE
NA,scotland,male,white,Married/Widowed,58,Owns/Outright,BA
Conservative,south east,female,white,Married/Widowed,68,Owns/Outright,BA
NA,west midlands,female,white,Married/Widowed,43,Rent/Other,Technical/None/Other
NA,greater london,male,white,Seperated/Divorced,46,Owns/Mortgage,Technical/None/Other
NA,north west,male,white,Partner/Single,62,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Partner/Single,23,Rent/Other,BA
NA,east midlands,male,white,Partner/Single,29,Owns/Mortgage,GCE
Conservative,south east,female,white,Partner/Single,19,Owns/Outright,Technical/None/Other
Labour,greater london,female,black or black british,Married/Widowed,69,Owns/Outright,Technical/None/Other
NA,east anglia,female,white,Married/Widowed,73,Owns/Outright,Technical/None/Other
Other,scotland,male,white,Seperated/Divorced,56,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,45,Owns/Mortgage,GCE
NA,south east,female,white,Partner/Single,41,Rent/Other,Technical/None/Other
LiberalDemocrat,greater london,female,white,Partner/Single,36,Owns/Mortgage,BA
LiberalDemocrat,yorkshire & humberside,male,white,Partner/Single,39,Rent/Other,BA
NA,east midlands,male,white,Partner/Single,26,Rent/Other,GCSE
Other,south east,male,white,Partner/Single,30,Owns/Mortgage,GCE
NA,scotland,male,white,Seperated/Divorced,71,Rent/Other,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,66,Rent/Other,Technical/None/Other
NA,scotland,male,white,Partner/Single,30,Rent/Other,GCE
NA,south east,female,white,Seperated/Divorced,54,Owns/Outright,GCSE
NA,east midlands,male,white,Partner/Single,42,Rent/Other,GCSE
Conservative,east anglia,male,white,Married/Widowed,70,Owns/Mortgage,GCE
Conservative,scotland,male,white,Married/Widowed,53,Rent/Other,GCSE
NA,south east,female,asian or asian british,Married/Widowed,30,Rent/Other,BA
Conservative,east anglia,male,white,Married/Widowed,66,Rent/Other,Technical/None/Other
Conservative,east midlands,female,white,Partner/Single,27,Rent/Other,Technical/None/Other
NA,north west,male,white,Married/Widowed,50,Owns/Outright,GCE
LiberalDemocrat,greater london,male,mixed background,Partner/Single,43,Owns/Mortgage,BA
NA,greater london,male,white,Partner/Single,64,Owns/Mortgage,BA
NA,greater london,female,black or black british,Partner/Single,44,Rent/Other,GCSE
Other,east anglia,female,white,Married/Widowed,63,Owns/Outright,Technical/None/Other
NA,north,male,white,Partner/Single,31,Rent/Other,BA
NA,east anglia,female,white,Partner/Single,40,Owns/Mortgage,BA
NA,north,female,white,Seperated/Divorced,36,Rent/Other,BA
Labour,wales,male,white,Partner/Single,21,Owns/Mortgage,GCE
NA,west midlands,female,white,Seperated/Divorced,58,Rent/Other,Technical/None/Other
Conservative,south east,male,white,Married/Widowed,55,Owns/Outright,BA
NA,north west,male,white,Married/Widowed,42,Owns/Mortgage,GCE
Conservative,south east,male,white,Married/Widowed,39,Owns/Mortgage,GCE
NA,greater london,female,white,Partner/Single,46,Owns/Mortgage,GCE
NA,scotland,male,white,Partner/Single,39,Owns/Outright,BA
NA,north west,male,white,Married/Widowed,42,Owns/Mortgage,BA
Conservative,south east,female,white,Seperated/Divorced,60,Owns/Outright,Technical/None/Other
LiberalDemocrat,yorkshire & humberside,female,white,Married/Widowed,44,Owns/Outright,GCSE
Conservative,south east,female,white,Married/Widowed,54,Owns/Mortgage,Technical/None/Other
Labour,east anglia,male,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
NA,wales,male,white,Married/Widowed,66,Owns/Outright,Technical/None/Other
Conservative,east anglia,male,white,Partner/Single,25,Owns/Mortgage,GCE
LiberalDemocrat,south west,male,white,Married/Widowed,62,Owns/Outright,BA
Conservative,yorkshire & humberside,male,white,Married/Widowed,69,Owns/Outright,GCE
NA,north west,female,white,Married/Widowed,46,Owns/Mortgage,GCE
Conservative,west midlands,male,white,Married/Widowed,63,Owns/Outright,BA
Labour,south west,female,white,Married/Widowed,40,Rent/Other,Technical/None/Other
NA,yorkshire & humberside,female,white,Partner/Single,26,Owns/Mortgage,BA
Conservative,south east,female,white,Married/Widowed,49,Owns/Mortgage,BA
Labour,yorkshire & humberside,male,white,Partner/Single,58,Owns/Outright,BA
Conservative,south east,female,white,Married/Widowed,58,Owns/Outright,Technical/None/Other
Other,south east,male,white,Partner/Single,48,Owns/Mortgage,Technical/None/Other
Labour,south west,male,white,Partner/Single,33,Owns/Mortgage,BA
Labour,wales,female,mixed background,Partner/Single,34,Rent/Other,Technical/None/Other
Labour,greater london,male,white,Partner/Single,52,Owns/Mortgage,BA
Conservative,west midlands,male,white,Married/Widowed,46,Owns/Outright,BA
NA,south west,male,white,Partner/Single,43,Rent/Other,BA
NA,wales,male,white,Married/Widowed,66,Rent/Other,Technical/None/Other
Labour,west midlands,male,white,Partner/Single,53,Owns/Mortgage,BA
NA,south west,male,white,Married/Widowed,53,Rent/Other,Technical/None/Other
NA,wales,male,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
NA,yorkshire & humberside,female,white,Partner/Single,31,Owns/Mortgage,BA
Conservative,west midlands,male,white,Married/Widowed,75,Rent/Other,Technical/None/Other
LiberalDemocrat,south east,male,white,Seperated/Divorced,62,Rent/Other,Technical/None/Other
